date,VOL
20101220,52921405
20101221,38246140
20101222,42355964
20101223,25014096
20101227,21730020
20101228,23131667
20101229,19573574
20101230,20857370
20101231,24861324
20110103,53613367
20110104,54542150
20110105,59012770
20110106,88255842
20110107,73953602
20110110,57697717
20110111,50440195
20110112,52760085
20110113,67260332
20110114,62847432
20110118,56037839
20110119,50157862
20110120,58799147
20110121,58217438
20110124,52296260
20110125,42584740
20110126,74803462
20110127,145706295
20110128,141606906
20110131,65216579
20110201,63005796
20110202,45944807
20110203,60519679
20110204,40551332
20110207,69137576
20110208,35052053
20110209,53039950
20110210,76871485
20110211,84118510
20110214,56958239
20110215,44242509
20110216,71125435
20110217,57349814
20110218,68812190
20110222,61097215
20110223,60431233
20110224,64720493
20110225,53138411
20110228,51519086
20110301,60281607
20110302,48842205
20110303,68497139
20110304,70735526
20110307,65295818
20110308,50797025
20110309,39950958
20110310,66733735
20110311,50038338
20110314,54572632
20110315,76261403
20110316,100994852
20110317,62652575
20110318,85625890
20110321,46997955
20110322,30998651
20110323,44153894
20110324,38840171
20110325,57145087
20110328,49058514
20110329,40898073
20110330,42073329
20110331,63364151
20110401,63241465
20110404,35526521
20110405,73839844
20110406,65701596
20110407,46249787
20110408,40012640
20110411,34394752
20110412,37033002
20110413,38231176
20110414,55355300
20110415,65186296
20110418,58186574
20110419,39009426
20110420,61749945
20110421,47076353
20110425,33595413
20110426,69313718
20110427,52774674
20110428,81509583
20110429,319563566
20110502,89976531
20110503,72027180
20110504,73419433
20110505,55765662
20110506,56160784
20110509,38783833
20110510,120988758
20110511,78745370
20110512,77488644
20110513,66942697
20110516,91544636
20110517,83014901
20110518,54059465
20110519,37873023
20110520,45537797
20110523,53879810
20110524,47776049
20110525,34971466
20110526,78146436
20110527,50321767
20110531,60294389
20110601,74163786
20110602,51589080
20110603,60810479
20110606,54901351
20110607,41232481
20110608,42364078
20110609,42959328
20110610,49436492
20110613,47691230
20110614,43051948
20110615,49527419
20110616,57281356
20110617,83795713
20110620,54432386
20110621,49813364
20110622,44379410
20110623,59584387
20110624,101480012
20110627,92172324
20110628,81137059
20110629,66142667
20110630,52620341
20110701,53004769
20110705,37876354
20110706,48853646
20110707,52068128
20110708,58471690
20110711,44094832
20110712,47467816
20110713,40971315
20110714,46543829
20110715,49224070
20110718,44617623
20110719,86880533
20110720,49902905
20110721,81942470
20110722,76532569
20110725,109562274
20110726,74753010
20110727,71663352
20110728,83914905
20110729,104552194
20110801,62025917
20110802,64043101
20110803,64811684
20110804,93214803
20110805,112415421
20110808,134804927
20110809,126924680
20110810,128297403
20110811,91085467
20110812,65021846
20110815,56655074
20110816,54412582
20110817,51053429
20110818,105944887
20110819,77575688
20110822,54878854
20110823,59832457
20110824,45483883
20110825,48356102
20110826,72117081
20110829,38963855
20110830,57494469
20110831,59448093
20110901,60675176
20110902,44005115
20110906,55079408
20110907,42069507
20110908,65967908
20110909,64694112
20110912,55194466
20110913,48938284
20110914,66904791
20110915,67983360
20110916,89832776
20110919,52459719
20110920,49343511
20110921,72946296
20110922,96538008
20110923,64952615
20110926,51232041
20110927,55815156
20110928,60926762
20110929,63617298
20110930,54272783
20111003,64799867
20111004,83727213
20111005,94355933
20111006,55290796
20111007,52909218
20111010,41954115
20111011,38843262
20111012,52631583
20111013,44208890
20111014,51079355
20111017,39922157
20111018,52646410
20111019,43037314
20111020,76481478
20111021,76815063
20111024,57015840
20111025,53677986
20111026,63517013
20111027,74665985
20111028,57832247
20111031,46906762
20111101,61365862
20111102,53674102
20111103,65975372
20111104,36655910
20111107,42702257
20111108,47959491
20111109,63098015
20111110,32570601
20111111,37999556
20111114,34274469
20111115,43982005
20111116,53381178
20111117,71119497
20111118,47727096
20111121,62002519
20111122,49292494
20111123,49229917
20111125,26226329
20111128,47974004
20111129,41035713
20111130,81507344
20111201,48672136
20111202,52411203
20111205,56942973
20111206,46281885
20111207,62851849
20111208,60669394
20111209,53924326
20111212,39057172
20111213,54738967
20111214,48042011
20111215,46316032
20111216,101558986
20111219,52357160
20111220,60894601
20111221,64467044
20111222,35982246
20111223,23270660
20111227,21335301
20111228,29888200
20111229,22672765
20111230,27472537
20120103,64904929
20120104,80655906
20120105,56187134
20120106,99592966
20120109,59837254
20120110,60148200
20120111,65831197
20120112,49485316
20120113,60377624
20120117,72511088
20120118,65022787
20120119,74186668
20120120,168142798
20120123,76444183
20120124,51850068
20120125,59390771
20120126,49258967
20120127,44324011
20120130,51269638
20120131,50685670
20120201,67556405
20120202,52351788
20120203,41948878
20120206,28121704
20120207,39335032
20120208,49747606
20120209,50592478
20120210,44887629
20120213,33425536
20120214,59789961
20120215,43420472
20120216,94913610
20120217,70191007
20120221,50956907
20120222,49411777
20120223,35175947
20120224,35745039
20120227,34679026
20120228,45309103
20120229,59474774
20120301,77593820
20120302,47441069
20120305,45403890
20120306,52119557
20120307,34457175
20120308,36855703
20120309,34728254
20120312,34175802
20120313,49078659
20120314,42119431
20120315,49183458
20120316,65743000
20120319,44962072
20120320,41731462
20120321,37027239
20120322,31909984
20120323,36067325
20120326,36886969
20120327,36405434
20120328,41548843
20120329,37195097
20120330,31910635
20120402,35994198
20120403,42959392
20120404,49669344
20120405,39312029
20120409,31181571
20120410,54391521
20120411,43166134
20120412,38441139
20120413,39906231
20120416,38287630
20120417,34466965
20120418,40678941
20120419,55017724
20120420,106356195
20120423,61622920
20120424,41023708
20120425,63107884
20120426,40490305
20120427,41821669
20120430,35817937
20120501,43628668
20120502,37230927
20120503,31354670
20120504,57707507
20120507,48540629
20120508,46214610
20120509,51699324
20120510,43717797
20120511,43189393
20120514,40680532
20120515,61717337
20120516,59962944
20120517,48264969
20120518,56226043
20120521,38707178
20120522,39378304
20120523,64614523
20120524,52129544
20120525,29423946
20120529,37629454
20120530,41445027
20120531,38931763
20120601,56474395
20120604,47703796
20120605,45454926
20120606,46487816
20120607,37619691
20120608,42276071
20120611,46110730
20120612,35211973
20120613,32750061
20120614,39299242
20120615,62017098
20120618,58482556
20120619,75135173
20120620,36054440
20120621,48244994
20120622,44872247
20120625,41929233
20120626,38205599
20120627,33581883
20120628,45019078
20120629,54977511
20120702,30642280
20120703,20869066
20120705,28385558
20120706,38107283
20120709,30503393
20120710,37341906
20120711,38995485
20120712,62611687
20120713,38912292
20120716,27854409
20120717,33604050
20120718,40786968
20120719,46570319
20120720,63617480
20120723,54919861
20120724,47288139
20120725,45064443
20120726,45148828
20120727,44086168
20120730,28803604
20120731,37405308
20120801,31658952
20120802,39446623
20120803,35672177
20120806,27337597
20120807,27906157
20120808,26130955
20120809,24817444
20120810,27756799
20120813,23020705
20120814,34424972
20120815,24239590
20120816,35520403
20120817,32385165
20120820,23607659
20120821,28551549
20120822,33298986
20120823,28241641
20120824,22880585
20120827,34435159
20120828,24019471
20120829,23163046
20120830,23884260
20120831,36545830
20120904,48435900
20120905,33593020
20120906,48151744
20120907,42470982
20120910,40273764
20120911,25070326
20120912,32629082
20120913,44944916
20120914,51323886
20120917,36399359
20120918,34430883
20120919,48673391
20120920,44746801
20120921,101956869
20120924,46754420
20120925,54038544
20120926,56123685
20120927,46804003
20120928,53967084
20121001,53779247
20121002,43134965
20121003,46336623
20121004,43376521
20121005,40922105
20121008,29538150
20121009,51016533
20121010,46956447
20121011,41287303
20121012,46315598
20121015,42323540
20121016,47523965
20121017,43918173
20121018,59002792
20121019,89942700
20121022,82300286
20121023,63596552
20121024,53052999
20121025,53954652
20121026,57530130
20121031,68929737
20121101,70820523
20121102,56138414
20121105,37434485
20121106,42634225
20121107,56837539
20121108,48880050
20121109,42540390
20121112,60062102
20121113,129433736
20121114,74841051
20121115,49934750
20121116,63060439
20121119,56237915
20121120,46174177
20121121,65538095
20121123,57346142
20121126,84228310
20121127,44266479
20121128,52110782
20121129,68437736
20121130,82639239
20121203,52365004
20121204,48971918
20121205,67355047
20121206,38414932
20121207,45487957
20121210,46319187
20121211,51383669
20121212,43631142
20121213,44636113
20121214,41918008
20121217,41766750
20121218,50208091
20121219,53229732
20121220,52328146
20121221,98521947
20121224,20764661
20121226,31477453
20121227,39287804
20121228,28215495
20121231,42630010
20130102,52505405
20130103,48149159
20130104,52212339
20130107,36663231
20130108,44316668
20130109,48470752
20130110,70919879
20130111,55091895
20130114,47928976
20130115,47975600
20130116,40819707
20130117,51205091
20130118,51598984
20130122,58013804
20130123,50009554
20130124,101072278
20130125,81303676
20130128,55764321
20130129,48933546
20130130,43299695
20130131,50087284
20130201,54998679
20130204,50142811
20130205,35071323
20130206,41739045
20130207,37625660
20130208,33015718
20130211,32041004
20130212,35565942
20130213,41336283
20130214,32397995
20130215,49365220
20130219,38568012
20130220,43866186
20130221,48854914
20130222,31090197
20130225,47727492
20130226,49581792
20130227,35147670
20130228,35543710
20130301,34337762
20130304,37851976
20130305,41132401
20130306,50656377
20130307,28995907
20130308,37316701
20130311,36237752
20130312,38968448
20130313,28840481
20130314,55256799
20130315,91980526
20130318,44492439
20130319,51516299
20130320,35184253
20130321,34048452
20130322,28500924
20130325,43835847
20130326,27574040
20130327,35602644
20130328,54923023
20130401,28919453
20130402,28175825
20130403,35629603
20130404,44948146
20130405,50798908
20130408,34458306
20130409,76946527
20130410,70344762
20130411,129363190
20130412,62204126
20130415,55729633
20130416,52332999
20130417,52532823
20130418,56857401
20130419,98796525
20130422,136291383
20130423,58459075
20130424,90056424
20130425,109800072
20130426,47521149
20130429,58688611
20130430,74801150
20130501,54240926
20130502,45783151
20130503,46152229
20130506,40681893
20130507,42666157
20130508,51338821
20130509,46027662
20130510,36132548
20130513,35729454
20130514,56577370
20130515,46208830
20130516,59059293
20130517,60299648
20130520,53484656
20130521,48986564
20130522,66437911
20130523,50880635
20130524,32867731
20130528,47884213
20130529,38190846
20130530,50751162
20130531,55985052
20130603,50976705
20130604,64672476
20130605,45800046
20130606,37325702
20130607,40503441
20130610,35709254
20130611,39209275
20130612,37164987
20130613,45450696
20130614,52978429
20130617,49378283
20130618,28518642
20130619,30706852
20130620,54151411
20130621,84981594
20130624,55823819
20130625,43887991
20130626,48031065
20130627,28794412
20130628,65356164
20130701,30892975
20130702,37210707
20130703,15811611
20130705,25756720
20130708,32149591
20130709,25021985
20130710,29504880
20130711,53323697
20130712,35135153
20130715,33891923
20130716,35975743
20130717,36958779
20130718,49160469
20130719,246000240
20130722,78495313
20130723,65263990
20130724,52333247
20130725,62847592
20130726,39756015
20130729,29116468
20130730,45429491
20130731,43564160
20130801,42208520
20130802,28938474
20130805,30853788
20130806,36077017
20130807,37651649
20130808,58489260
20130809,26648167
20130812,25329093
20130813,39154809
20130814,48223960
20130815,33099990
20130816,32733721
20130819,27713801
20130820,22806582
20130821,37186927
20130822,31036265
20130823,224489098
20130826,72285047
20130827,58368940
20130828,44016567
20130829,44847446
20130830,42183464
20130903,153525608
20130904,141186181
20130905,71170957
20130906,74974294
20130909,49257592
20130910,56348128
20130911,38802900
20130912,32599812
20130913,40483668
20130916,54718170
20130917,83735833
20130918,63236291
20130919,41692346
20130920,102358811
20130923,39688026
20130924,40462492
20130925,29000315
20130926,28399074
20130927,55256696
20130930,39707152
20131001,36573887
20131002,46673311
20131003,38491340
20131004,32848868
20131007,35065901
20131008,40880250
20131009,35803704
20131010,42642066
20131011,30052168
20131014,31266348
20131015,46788652
20131016,34931276
20131017,31213231
20131018,41481690
20131021,27336876
20131022,40059093
20131023,58064436
20131024,52950275
20131025,112636269
20131028,38020425
20131029,31340665
20131030,36720652
20131031,41460844
20131101,39749805
20131104,27963527
20131105,51424940
20131106,88601092
20131107,60108985
20131108,36619229
20131111,26915573
20131112,31712396
20131113,44559867
20131114,45976994
20131115,50219190
20131118,53145456
20131119,44213516
20131120,32009992
20131121,22965082
20131122,27834660
20131125,30484086
20131126,34236181
20131127,25734739
20131129,22057798
20131202,42816510
20131203,51941804
20131204,51030101
20131205,115625309
20131206,36167505
20131209,29921858
20131210,39456985
20131211,39218379
20131212,34822973
20131213,39626853
20131216,31416273
20131217,45189442
20131218,62611505
20131219,33815550
20131220,62234552
20131223,24836317
20131224,14094699
20131226,17491511
20131227,14411839
20131230,16146712
20131231,17382336
20140102,30423757
20140103,30944370
20140106,43111355
20140107,35478667
20140108,59452427
20140109,36215226
20140110,40212068
20140113,45381804
20140114,41104196
20140115,44348336
20140116,37867819
20140117,46009680
20140121,31268119
20140122,21798051
20140123,44104654
20140124,76424302
20140127,44111631
20140128,36226055
20140129,52790351
20140130,35111959
20140131,93194815
20140203,64104518
20140204,55531979
